match_idx,y,w_b1,w_b2,w_b3,w_b4,pH_mix,pD_mix,pA_mix,pH_eq,pD_eq,pA_eq
0,2,0.5085128349063687,0.15464012809761715,0.17402791055581507,0.162819126440199,0.22493852542224435,0.46521964778566394,0.3098418267920916,0.242899122046851,0.4713605383315775,0.2857403396215716
1,2,0.7175114123383036,0.08666870162153084,0.10557334734858687,0.09024653869157875,0.42203772091947905,0.28669114052635175,0.29127113855416914,0.41650757719119696,0.2948071104577312,0.2886853123510719
2,0,0.6252309033276278,0.11695436482956699,0.13659628199047275,0.1212184498523325,0.4144202616350138,0.25999831583918825,0.3255814225257979,0.4143803211757985,0.24554433348922322,0.34007534533497835
3,2,0.5235876832822411,0.15105528856007616,0.16933368910512042,0.15602333905256238,0.4071880625086814,0.035506176040955045,0.5573057614503637,0.4072935783479422,0.04522401801720193,0.5474824036348558
4,1,0.7175583695883823,0.08662823053991875,0.105567216573828,0.09024618329787093,0.3745438022536425,0.3827068935116085,0.2427493042347491,0.3804406658565804,0.4152385794935522,0.2043207546498673
5,1,0.611451939333712,0.12026590635634017,0.14111325172570113,0.12716890258424665,0.3269173422232333,0.5502673266638702,0.12281533111289639,0.3071232253616297,0.5892537266168898,0.10362304802148035
6,0,0.6248686336414551,0.11709525539427344,0.13671652380762309,0.1213195871566484,0.43714925173704583,0.3622508092401533,0.20059993902280085,0.46017830721434705,0.35433838240981635,0.18548331037583657
7,2,0.5231466400862824,0.15125766882592234,0.1694642703704743,0.1561314207173209,0.6744209733613118,0.12914406220568753,0.19643496443300063,0.66941970517774,0.14615383116461783,0.18442646365764226
8,0,0.716522780073165,0.08698640947323472,0.10593700182772225,0.09055380862587789,0.7329634722591294,0.1498137497473393,0.11722277799353131,0.7117996314668418,0.14565633945722908,0.14254402907592925
9,2,0.7179706687792969,0.08647691473917525,0.10542381871142478,0.09012859777010299,0.4241544935904217,0.20388489312433553,0.3719606132852429,0.42884934278721454,0.23682169736155428,0.33432895985123107
10,0,0.6257300975634965,0.11672060592719992,0.13644767396933843,0.12110162253996513,0.5200527975511472,0.35481543858574033,0.12513176386311262,0.5137455350031495,0.3552892170985689,0.13096524789828162
11,0,0.6107313938029298,0.12056347454366242,0.14134356267503004,0.12736156897837764,0.516412335660183,0.2972905208451647,0.18629714349465235,0.5310000628737093,0.31060314409367895,0.15839679303261175
12,0,0.5084093509471416,0.15471275831329795,0.17404784310810703,0.1628300476314533,0.42403333463682985,0.42282831019142114,0.15313835517174906,0.40178568388952945,0.4400163878037301,0.15819792830674054
13,2,0.7039568739906015,0.09021396578083093,0.1101955178095223,0.09563364241904516,0.39432847609819177,0.1504050883408217,0.4552664355609866,0.3993115093203083,0.15233192019833283,0.44835657048135896
14,0,0.625295163619443,0.11687043740410757,0.13660036669196307,0.12123403228448623,0.43027593124213803,0.14192498906241333,0.4277990796954486,0.4445947975200051,0.09851847903009486,0.45688672344990006
15,1,0.5226702189687873,0.1514609382950196,0.16961182066580313,0.15625702207038988,0.44581343317457894,0.24954732694956067,0.30463923987586033,0.4421379913985408,0.25933022229547864,0.2985317863059806
16,1,0.5223207147706146,0.15157474609288052,0.1697350171804409,0.15636952195606393,0.398944856348213,0.46057916888229794,0.14047597476948923,0.416303027983944,0.43968244248090493,0.1440145295351511
17,2,0.7044777647836298,0.09002472057272495,0.11001461874531432,0.09548289589833106,0.49133585370874794,0.2998622403960002,0.208801905895252,0.5198963578509356,0.2943757665983426,0.18572787555072173
18,0,0.5228679397310491,0.1513006843051548,0.16958272128568486,0.15624865467811128,0.48286280934183945,0.45936263642923736,0.05777455422892308,0.4914022088798944,0.47301396048033006,0.03558383063977541
19,0,0.7175423477100599,0.08666525811548972,0.10555911559316046,0.09023327858128999,0.4529124353282767,0.3431870402291945,0.20390052444252874,0.4251459955875742,0.3438822586497517,0.23097174576267407
20,0,0.7172278139504789,0.08674929179490204,0.10568229512180852,0.09034059913281053,0.5494610152914569,0.19870688696928793,0.25183209773925513,0.52908841627737,0.20187926744170975,0.2690323162809204
21,1,0.6244550009919179,0.11722991410218662,0.13686511630045578,0.12144996860543966,0.468638076515346,0.30605579177588943,0.22530613170876468,0.47712787913375226,0.30205177025289365,0.2208203506133542
22,1,0.704500155122971,0.0899986771767099,0.1100146228232335,0.0954865448770854,0.4994086847094192,0.38274196800911875,0.11784934728146194,0.5257155539773193,0.4174329077922514,0.05685153823042943
23,2,0.7040512871837618,0.09017398045383847,0.11016519889386849,0.09560953346853136,0.5856664623054371,0.18635082102660383,0.22798271666795902,0.638884662383837,0.176829633663256,0.18428570395290697
24,2,0.6247270048612994,0.11711507891917208,0.1367787376770228,0.12137917854250577,0.24952593591638986,0.3442011920478553,0.40627287203575474,0.24581051298583642,0.35263144157707715,0.4015580454370864
25,0,0.5238126301537815,0.15101534517135562,0.16924029727782233,0.1559317273970405,0.4462806577987727,0.22918626131594885,0.3245330808852785,0.4551823904537318,0.22398801186307762,0.32082959768319064
26,0,0.5075508431531705,0.15497912436001368,0.17435399952457584,0.16311603296224003,0.33211073541729946,0.4143101448575176,0.253579119725183,0.3358349246074408,0.4311088601870896,0.23305621520546954
27,2,0.6243775867092494,0.117242532128672,0.1368983539140919,0.12148152724798675,0.3914131323658961,0.2661311314384766,0.34245573619562736,0.4065531791460453,0.25897591520572233,0.3344709056482324
28,1,0.7042849385980169,0.0900594537680468,0.11009693030038267,0.09555867733355364,0.5689104187876591,0.279792061006394,0.15129752020594697,0.5467751274490299,0.2935402466701997,0.15968462588077034
29,2,0.6098842816238373,0.12085748895890168,0.14163814247497897,0.12762008694228186,0.25051159697963965,0.3546683321026426,0.3948200709177178,0.23509502110001781,0.3479411237374115,0.4169638551625708
30,0,0.611664588357399,0.12020074213566954,0.14103561742107215,0.12709905208585937,0.7439280273100985,0.16970019706348602,0.08637177562641535,0.7369888749182392,0.16788547088817282,0.09512565419358812
31,0,0.522211284614636,0.15163598141011575,0.16976274784834988,0.15638998612689847,0.28004225934550475,0.1677847373032615,0.5521730033512336,0.27888376074997284,0.12783788007018415,0.5932783591798431
32,1,0.5222771156021165,0.15159961869061872,0.1697458644587051,0.15637740124855962,0.5907306772633365,0.1893559641490875,0.21991335858757602,0.5985446290710437,0.1824599303148968,0.21899544061405957
33,1,0.7175651532199248,0.08663569489578284,0.10556048774545382,0.0902386641388385,0.5551705089407147,0.1575087056036904,0.28732078545559486,0.5281991159129948,0.15082075534798053,0.32098012873902454
34,2,0.5072303033327835,0.15516539806527013,0.17443194302445286,0.1631723555774935,0.40346053417320576,0.45607678035207155,0.1404626854747227,0.4374325933202812,0.448991685839824,0.11357572083989483
35,0,0.7175430737923768,0.08666693003605973,0.10555801207663497,0.09023198409492855,0.513615079210201,0.25515013595783165,0.23123478483196738,0.5052815037647339,0.24217490306139985,0.2525435931738663
36,0,0.5222594120002734,0.15162055753173453,0.16974567854570724,0.15637435192228472,0.5263853088585942,0.450413708720323,0.02320098242108277,0.5009239030720398,0.47782884350337534,0.021247253424584823
37,1,0.7169559496992072,0.08684318066031067,0.10577943326265876,0.09042143637782336,0.3162797332712942,0.512247412649649,0.17147285407905674,0.2929046753465046,0.5262900844399432,0.18080524021355224
38,1,0.6114939552463395,0.12025826775046296,0.14109567865427042,0.12715209834892707,0.2766654007214735,0.7100877700788429,0.013246829199683572,0.2913634932339336,0.7008476238317215,0.007788882934344886
39,1,0.7177212989619489,0.08655848234872385,0.10551491816418583,0.09020530052514132,0.39262188997439135,0.48670389465839503,0.12067421536721348,0.3937631592786657,0.4844530031488532,0.12178383757248103
40,0,0.5221890773716108,0.1516322783122758,0.16977520642798413,0.15640343788812935,0.07177169411194716,0.508404389161493,0.41982391672655983,0.060951454911878034,0.5100549223548962,0.42899362273322583
41,2,0.5234136294208802,0.15117449439773673,0.1693685659490228,0.15604331023236018,0.40357310178203487,0.290403484245542,0.306023413972423,0.41714169627632025,0.28605061747557586,0.29680768624810394
42,2,0.5230365395604244,0.15123662488044262,0.16952716937855655,0.15619966618057643,0.07501952500998765,0.6675385730424835,0.2574419019475288,0.06878202851042137,0.6697345832742945,0.26148338821528405
43,1,0.5235489871724766,0.15112304293178738,0.16932397701184324,0.15600399288389277,0.3644198584330003,0.2352589205288489,0.4003212210381508,0.37305524878147495,0.25743295777389363,0.3695117934446314
44,1,0.7178111636452171,0.08653325121656064,0.10548026158402672,0.0901753235541955,0.4639637559124222,0.3929873524260716,0.14304889166150625,0.4945523300951874,0.38237872749748075,0.12306894240733193
45,0,0.5221516049289896,0.15162337801447767,0.16979735170533278,0.15642766535120006,0.3726605588234894,0.3502876787433072,0.2770517624332034,0.36187688218607256,0.37785130832466957,0.2602718094892579
46,0,0.5067059927079499,0.15540014026318316,0.17458873024509872,0.16330513678376818,0.7353125821440865,0.04820904990983615,0.21647836794607744,0.7374100692643283,0.03959568202342646,0.2229942487122453
47,2,0.5230527393383574,0.15131416022084565,0.1694863958110538,0.15614670462974317,0.8046755219485989,0.05408664194986792,0.14123783610153315,0.8089491081220543,0.028534323102431983,0.16251656877551374
48,2,0.6100097533879262,0.12081818136030296,0.1415927005875967,0.12757936466417422,0.3779304084935286,0.27616956471931214,0.3459000267871592,0.40582976709377666,0.22759076344243845,0.366579469463785
49,1,0.5082615812315503,0.15470405784574523,0.17412338473535718,0.16291097618734737,0.4603245156005767,0.420322815079115,0.11935266932030822,0.46075584292117233,0.44389845285811613,0.09534570422071154
50,2,0.6114502809948494,0.12028609103010375,0.14110546370024432,0.12715816427480245,0.32909963040642914,0.313430447599724,0.35746992199384686,0.3275199659566796,0.2992231891933048,0.37325684485001565
51,0,0.6259722910215976,0.1166687707420008,0.13634902282816946,0.1210099154082322,0.3962208485507495,0.24896792791449518,0.3548112235347553,0.3979634461257678,0.25083168775313724,0.3512048661210949
52,2,0.5084153581246025,0.154723360675721,0.17404047962620317,0.16282080157347334,0.44415633152438866,0.3772605978158646,0.1785830706597468,0.43717899362983836,0.3680927857130181,0.19472822065714354
53,1,0.5221136176506342,0.151621938054258,0.16981658986636686,0.15644785442874098,0.18676090550088287,0.5246046340483801,0.28863446045073693,0.20290422018218984,0.4831502105182815,0.3139455692995286
54,0,0.5222625708923817,0.1516201483472304,0.16974430273249938,0.15637297802788852,0.6339753355070864,0.04084258908046972,0.3251820754124438,0.6653701813944096,0.02307074492191939,0.31155907368367114
55,0,0.6102895689634742,0.12073667124189086,0.1414887362211168,0.1274850235735181,0.6798271929886367,0.019118917463381176,0.3010538895479821,0.707424859892574,0.00908517511131767,0.28348996499610835
56,0,0.6251364992038982,0.11693304630282475,0.13665264123989104,0.12127781325338587,0.39858159287106676,0.5598773615387226,0.041541045590210525,0.4223496403643623,0.5507686516806152,0.02688170795502264
57,1,0.6259167525007648,0.11670351129833485,0.13636179066278495,0.1210179455381154,0.5412365735479043,0.2163974528845342,0.24236597356756132,0.5429333215536815,0.23890641501874554,0.21816026342757291
58,2,0.5228316950398594,0.15139269652262108,0.16956153412251787,0.15621407431500173,0.48086217993632513,0.19847134975873867,0.3206664703049363,0.45845041043650037,0.21976370958337252,0.3217858799801271
59,0,0.5073182346657992,0.1551182370573793,0.17440891240623962,0.16315461587058194,0.6636713714515009,0.2604516382262559,0.07587699032224317,0.6751593674604149,0.2520749152686111,0.07276571727097395
60,0,0.507322071108894,0.1551564366747395,0.17439104365126165,0.1631304485651049,0.4683270962568819,0.1356987746332722,0.395974129109846,0.4625097401333614,0.14187247555992236,0.39561778430671624
61,1,0.6103488565990368,0.12064718123338523,0.14149752095660353,0.12750644121097438,0.6127505034735249,0.33886793650377706,0.04838156002269801,0.6104085968729887,0.3410083069344404,0.04858309619257098
62,0,0.5238976170087722,0.15098147517081878,0.16921296393008975,0.15590794389031923,0.6541381813646784,0.12125417339905108,0.22460764523627058,0.648337322406796,0.12048307768653833,0.23117959990666576
63,0,0.6259047630528464,0.11669242712410428,0.13637256015274754,0.12103024967030188,0.19978397645379806,0.7126145152730315,0.08760150827317045,0.2248705854948304,0.7150569183518256,0.060072496153343896
64,0,0.5084345240139974,0.15466021612258227,0.17405760001059514,0.1628476598528253,0.8747083179538975,0.028163368737454383,0.09712831330864817,0.8632243340049466,0.03225119804445374,0.1045244679505996
65,0,0.6241953019049056,0.11734745188442267,0.1369441800403169,0.12151306617035502,0.6193855217624419,0.16799982015225134,0.21261465808530672,0.6240112118222484,0.17029430548816513,0.2056944826895865
66,1,0.717240464023188,0.08674766357257517,0.10567657213044002,0.09033530027379677,0.5105540811408934,0.2147282778579843,0.2747176410011223,0.5081002661670294,0.25891694818712463,0.23298278564584599
67,0,0.5226551341747089,0.15140218920705473,0.1696440952321976,0.15629858138603872,0.3767882599917139,0.2715245130261423,0.35168722698214394,0.39226855410415495,0.24846600966747712,0.3592654362283679
68,0,0.507254145363024,0.15514506630507754,0.17442885874637645,0.16317192958552187,0.3257553161780775,0.38138720110177465,0.29285748272014794,0.3476104138919149,0.3463552801200327,0.3060343059880525
69,1,0.5067583578176774,0.1553407866673294,0.17458811533002164,0.16331274018497155,0.43914124572687085,0.21201270248258042,0.34884605179054884,0.43346154625739625,0.23169251608506009,0.33484593765754367
70,0,0.5068213494538515,0.15532484978100808,0.1745641401561055,0.16328966060903496,0.39528996678168743,0.3190693193651773,0.2856407138531352,0.41654723870381277,0.31727745239542765,0.26617530890075963
71,1,0.7173234388028132,0.08672447919737292,0.10564452312191967,0.0903075588778942,0.497687303331054,0.35111525902734597,0.15119743764160012,0.5167329648034527,0.36242561662473716,0.12084141857181012
72,0,0.7052614062458793,0.08969972708254613,0.10975996618880411,0.0952789004827703,0.5431212969426482,0.31768432704388133,0.13919437601347032,0.5608943050608729,0.26884390852248063,0.17026178641664638
73,0,0.6247089622817126,0.11715722696097908,0.13676957499222822,0.12136423576508015,0.3990000852447616,0.2758355516410819,0.3251643631141563,0.39359830057938255,0.27463274360024037,0.3317689558203771
74,2,0.5070258993072938,0.1552003800321092,0.17451674930590785,0.16325697135468908,0.22887936386033259,0.34878029158634466,0.42234034455332276,0.21741812318792447,0.3564142536053458,0.42616762320672974
75,2,0.506913905661558,0.15529059415437663,0.1745334532214127,0.16326204696265273,0.8216707858826539,0.02932177349013491,0.14900744062721122,0.8424322661284233,0.022253385322237453,0.13531434854933932
76,0,0.5228619808525546,0.1513416898928805,0.16956828124913517,0.15622804800542964,0.3301009976926991,0.1963343347202192,0.47356466758708177,0.35264958049002654,0.19967219166195493,0.4476782278480185
77,2,0.7166874376194365,0.0869515973989473,0.10586848699225843,0.09049247798935772,0.29046001138280186,0.5130021185042241,0.19653787011297408,0.29741900544196703,0.4757038682220577,0.2268771263359753
78,0,0.5075774371706229,0.15501596823443006,0.1743256277903321,0.163080966804615,0.7708274859528108,0.2102856135339026,0.018886900513286644,0.7729025638763086,0.21786523039507016,0.00923220572862131
79,2,0.7044779576585709,0.08999816294492428,0.11002605846936007,0.09549782092714476,0.361258193714057,0.40698654855754945,0.23175525772839364,0.38238805148151767,0.4242486819600678,0.1933632665584146
80,1,0.6253668843810755,0.11684591381314505,0.13657510840150264,0.1212120934042768,0.4703106318286676,0.3575080061095816,0.1721813620617507,0.4807282806493247,0.3447476145136948,0.17452410483698047
81,1,0.6103680706288459,0.12064693558963416,0.14148809911328927,0.12749689466823083,0.2650028368270691,0.6244608106467558,0.11053635252617504,0.2476186403241361,0.6347619363972556,0.11761942327860825
82,2,0.5070765313506849,0.1552283891576641,0.17448037943580783,0.16321470005584315,0.4055336992997276,0.3106687238835706,0.28379757681670187,0.39361094135896035,0.33528471352694433,0.27110434511409537
83,0,0.6101896391431205,0.12077474219707797,0.14152204087667772,0.12751357778312375,0.3452989309603557,0.22817912182942057,0.42652194721022363,0.36985174651892055,0.20113644216833662,0.4290118113127428
84,0,0.6249272310211915,0.11702832687046895,0.1367161098314851,0.12132833227685448,0.4952356625283608,0.3060948661335002,0.19866947133813911,0.5020143961261022,0.3255059320293794,0.17247967184451843
85,0,0.6252432006484822,0.11688881409034074,0.1366184042334684,0.12124958102770873,0.5265210862531448,0.188620490859197,0.28485842288765834,0.5078323821995026,0.20478449116712144,0.287383126633376
86,0,0.522865202278095,0.1513066433911291,0.1695815405922279,0.156246613738548,0.2628867543916073,0.5443049432471985,0.1928083023611943,0.26724889990465517,0.5328633898573027,0.199887710238042
87,1,0.7180487174854544,0.0864555074991545,0.10539349681774803,0.09010227819764297,0.33551963121551703,0.5997743847171465,0.0647059840673365,0.3956322834542998,0.5739250258784011,0.030442690667299106
88,0,0.508283836097397,0.1546923309919224,0.17411746763758648,0.1629063652730941,0.47605288095341997,0.41544053922199653,0.10850657982458349,0.4893599810073559,0.39337334101399507,0.11726667797864902
89,1,0.5224361270807654,0.1515356182596612,0.16969499046359424,0.15633326419597915,0.4118267515607147,0.2535292063612017,0.3346440420780836,0.39852291034019166,0.24677659237420038,0.3547004972856079
